instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered
162,2011/1/8,1,0,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,1,24
163,2011/1/8,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,1,15
164,2011/1/8,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0,3,13
165,2011/1/8,1,0,1,3,0,6,0,3,0.18,0.197,0.55,0.1642,0,7
166,2011/1/8,1,0,1,4,0,6,0,3,0.18,0.197,0.55,0.1642,0,1
167,2011/1/8,1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,0,5
168,2011/1/8,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,0,2
169,2011/1/8,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,1,8
170,2011/1/8,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,0,15
171,2011/1/8,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,0,20
172,2011/1/8,1,0,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,5,56
173,2011/1/8,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,2,60
174,2011/1/8,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,8,90
175,2011/1/8,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,7,95
176,2011/1/8,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,12,83
177,2011/1/8,1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,5,69
178,2011/1/8,1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,8,68
179,2011/1/8,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,5,64
180,2011/1/8,1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,3,52
181,2011/1/8,1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,4,26
182,2011/1/8,1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,0,28
183,2011/1/8,1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,2,35
184,2011/1/8,1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,1,33
185,2011/1/8,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,0,22
186,2011/1/9,1,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,1,24
187,2011/1/9,1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,0,12
188,2011/1/9,1,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,0,11
189,2011/1/9,1,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,0,4
190,2011/1/9,1,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.194,0,1
191,2011/1/9,1,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.194,0,1
192,2011/1/9,1,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,0,1
193,2011/1/9,1,0,1,7,0,0,0,1,0.08,0.0909,0.53,0.194,1,5
194,2011/1/9,1,0,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,0,10
195,2011/1/9,1,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,0,19
196,2011/1/9,1,0,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,0,49
197,2011/1/9,1,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,2,47
198,2011/1/9,1,0,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,4,79
199,2011/1/9,1,0,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478,6,69
200,2011/1/9,1,0,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,8,64
201,2011/1/9,1,0,1,15,0,0,0,1,0.22,0.197,0.35,0.3582,5,77
202,2011/1/9,1,0,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478,13,79
203,2011/1/9,1,0,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,3,59
204,2011/1/9,1,0,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,4,44
205,2011/1/9,1,0,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,1,40
206,2011/1/9,1,0,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,0,38
207,2011/1/9,1,0,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,1,19
208,2011/1/9,1,0,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985,5,10
209,2011/1/9,1,0,1,23,0,0,0,1,0.12,0.1364,0.5,0.194,0,6
210,2011/1/10,1,0,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,2,3
211,2011/1/10,1,0,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,1,0
212,2011/1/10,1,0,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239,0,3
213,2011/1/10,1,0,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239,0,1
214,2011/1/10,1,0,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343,1,2
215,2011/1/10,1,0,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537,0,3
216,2011/1/10,1,0,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836,0,31
217,2011/1/10,1,0,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239,2,75
218,2011/1/10,1,0,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,4,184
219,2011/1/10,1,0,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537,2,92
220,2011/1/10,1,0,1,10,0,1,1,2,0.14,0.1212,0.5,0.2985,0,31
221,2011/1/10,1,0,1,11,0,1,1,2,0.16,0.1364,0.47,0.2836,2,28
222,2011/1/10,1,0,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836,5,47
223,2011/1/10,1,0,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836,4,50
224,2011/1/10,1,0,1,14,0,1,1,2,0.2,0.197,0.4,0.2239,0,47
225,2011/1/10,1,0,1,15,0,1,1,2,0.2,0.197,0.4,0.2239,2,43
226,2011/1/10,1,0,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343,4,70
227,2011/1/10,1,0,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045,4,174
228,2011/1/10,1,0,1,18,0,1,1,1,0.2,0.197,0.4,0.2239,1,154
229,2011/1/10,1,0,1,19,0,1,1,1,0.16,0.1667,0.47,0.1642,3,92
230,2011/1/10,1,0,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642,1,73
231,2011/1/10,1,0,1,21,0,1,1,1,0.14,0.1364,0.59,0.194,1,37
232,2011/1/10,1,0,1,22,0,1,1,1,0.14,0.1515,0.59,0.1642,2,22
233,2011/1/10,1,0,1,23,0,1,1,1,0.14,0.1515,0.59,0.1642,0,18
234,2011/1/11,1,0,1,0,0,2,1,1,0.14,0.1667,0.59,0.1045,2,10
235,2011/1/11,1,0,1,1,0,2,1,1,0.14,0.1515,0.59,0.1642,0,3
236,2011/1/11,1,0,1,2,0,2,1,2,0.16,0.1515,0.55,0.194,0,3
237,2011/1/11,1,0,1,5,0,2,1,2,0.16,0.1818,0.55,0.1343,0,6
238,2011/1/11,1,0,1,6,0,2,1,2,0.16,0.1818,0.55,0.1343,0,27
239,2011/1/11,1,0,1,7,0,2,1,2,0.16,0.2273,0.55,0,2,97
240,2011/1/11,1,0,1,8,0,2,1,2,0.18,0.2121,0.51,0.0896,3,214
241,2011/1/11,1,0,1,9,0,2,1,2,0.18,0.197,0.51,0.1642,3,127
242,2011/1/11,1,0,1,10,0,2,1,2,0.2,0.2121,0.51,0.1642,3,51
243,2011/1/11,1,0,1,11,0,2,1,2,0.2,0.2121,0.47,0.1343,4,31
244,2011/1/11,1,0,1,12,0,2,1,2,0.2,0.2273,0.51,0.1045,2,55
245,2011/1/11,1,0,1,13,0,2,1,2,0.2,0.2273,0.59,0.0896,6,46
246,2011/1/11,1,0,1,14,0,2,1,2,0.2,0.2273,0.59,0.0896,3,60
247,2011/1/11,1,0,1,15,0,2,1,2,0.16,0.197,0.8,0.0896,2,45
248,2011/1/11,1,0,1,16,0,2,1,2,0.16,0.1515,0.86,0.2239,4,72
249,2011/1/11,1,0,1,17,0,2,1,2,0.16,0.1515,0.86,0.2239,6,130
250,2011/1/11,1,0,1,18,0,2,1,3,0.16,0.1818,0.93,0.1045,1,94
251,2011/1/11,1,0,1,19,0,2,1,3,0.16,0.2273,0.93,0,0,51
252,2011/1/11,1,0,1,20,0,2,1,3,0.16,0.1515,0.93,0.194,0,32
253,2011/1/11,1,0,1,21,0,2,1,3,0.16,0.197,0.86,0.0896,0,20
254,2011/1/11,1,0,1,22,0,2,1,3,0.16,0.1818,0.93,0.1045,1,28
255,2011/1/11,1,0,1,23,0,2,1,3,0.16,0.197,0.93,0.0896,1,18
256,2011/1/12,1,0,1,0,0,3,1,2,0.16,0.197,0.86,0.0896,0,7
257,2011/1/12,1,0,1,1,0,3,1,2,0.16,0.1818,0.86,0.1045,0,6
258,2011/1/12,1,0,1,2,0,3,1,1,0.14,0.1515,0.86,0.1343,0,1
259,2011/1/12,1,0,1,5,0,3,1,1,0.14,0.1515,0.86,0.1642,0,5
260,2011/1/12,1,0,1,6,0,3,1,1,0.12,0.1515,0.93,0.1343,0,16
261,2011/1/12,1,0,1,7,0,3,1,1,0.14,0.1515,0.69,0.1343,0,54
262,2011/1/12,1,0,1,8,0,3,1,1,0.16,0.1667,0.59,0.1642,3,125
263,2011/1/12,1,0,1,9,0,3,1,1,0.16,0.1364,0.59,0.3284,3,78
264,2011/1/12,1,0,1,10,0,3,1,1,0.18,0.1818,0.55,0.2239,0,39
265,2011/1/12,1,0,1,11,0,3,1,1,0.2,0.1818,0.51,0.3881,3,32
266,2011/1/12,1,0,1,12,0,3,1,1,0.2,0.1515,0.47,0.5821,3,52
267,2011/1/12,1,0,1,13,0,3,1,1,0.22,0.197,0.44,0.3582,0,49
268,2011/1/12,1,0,1,14,0,3,1,1,0.2,0.1818,0.47,0.3284,0,44
269,2011/1/12,1,0,1,15,0,3,1,1,0.2,0.1667,0.47,0.4179,1,48
270,2011/1/12,1,0,1,16,0,3,1,1,0.22,0.197,0.44,0.3284,5,63
271,2011/1/12,1,0,1,17,0,3,1,1,0.2,0.1818,0.47,0.3582,0,139
272,2011/1/12,1,0,1,18,0,3,1,1,0.2,0.1515,0.47,0.5224,2,135
273,2011/1/12,1,0,1,19,0,3,1,1,0.18,0.1515,0.47,0.4179,1,82
274,2011/1/12,1,0,1,20,0,3,1,1,0.16,0.1364,0.5,0.3284,2,54
275,2011/1/12,1,0,1,21,0,3,1,1,0.16,0.1364,0.55,0.3284,0,57
276,2011/1/12,1,0,1,22,0,3,1,1,0.16,0.1212,0.55,0.4478,1,32
277,2011/1/12,1,0,1,23,0,3,1,1,0.14,0.1061,0.59,0.4179,1,19
278,2011/1/13,1,0,1,0,0,4,1,1,0.14,0.1212,0.59,0.2836,1,6
279,2011/1/13,1,0,1,1,0,4,1,1,0.14,0.1212,0.5,0.2836,0,2
280,2011/1/13,1,0,1,2,0,4,1,1,0.14,0.1212,0.5,0.3582,0,2
281,2011/1/13,1,0,1,3,0,4,1,1,0.14,0.1212,0.5,0.3284,0,3
282,2011/1/13,1,0,1,4,0,4,1,1,0.14,0.1212,0.5,0.2537,0,4
283,2011/1/13,1,0,1,5,0,4,1,1,0.14,0.1212,0.5,0.2985,0,3
284,2011/1/13,1,0,1,6,0,4,1,1,0.12,0.1515,0.54,0.1343,0,28
285,2011/1/13,1,0,1,7,0,4,1,1,0.12,0.1515,0.54,0.1343,0,72
286,2011/1/13,1,0,1,8,0,4,1,1,0.14,0.1364,0.5,0.194,5,197
287,2011/1/13,1,0,1,9,0,4,1,1,0.14,0.1212,0.5,0.3284,2,137
288,2011/1/13,1,0,1,10,0,4,1,2,0.16,0.1364,0.5,0.3582,2,36
289,2011/1/13,1,0,1,11,0,4,1,2,0.2,0.1667,0.44,0.4478,4,33
290,2011/1/13,1,0,1,12,0,4,1,1,0.2,0.1667,0.44,0.4179,3,49
291,2011/1/13,1,0,1,13,0,4,1,1,0.22,0.197,0.41,0.4478,2,81
292,2011/1/13,1,0,1,14,0,4,1,1,0.22,0.197,0.41,0.3881,3,39
293,2011/1/13,1,0,1,15,0,4,1,1,0.24,0.2121,0.38,0.2985,5,55
294,2011/1/13,1,0,1,16,0,4,1,1,0.24,0.2121,0.38,0.3582,2,76
295,2011/1/13,1,0,1,17,0,4,1,1,0.2,0.1818,0.4,0.2836,4,158
296,2011/1/13,1,0,1,18,0,4,1,1,0.2,0.1818,0.4,0.3284,3,141
297,2011/1/13,1,0,1,19,0,4,1,1,0.16,0.1515,0.47,0.2537,1,98
298,2011/1/13,1,0,1,20,0,4,1,1,0.16,0.1515,0.47,0.2239,0,64
